Date,CDI
2011-12-01,0.10869999999999999
2011-12-02,0.10880000000000001
2011-12-05,0.10890000000000001
2011-12-06,0.10880000000000001
2011-12-07,0.10869999999999999
2011-12-08,0.1085
2011-12-09,0.10830000000000001
2011-12-12,0.1082
2011-12-13,0.10830000000000001
2011-12-14,0.10859999999999999
2011-12-15,0.10869999999999999
2011-12-16,0.10880000000000001
2011-12-19,0.10890000000000001
2011-12-20,0.109
2011-12-21,0.10890000000000001
2011-12-22,0.10880000000000001
2011-12-23,0.10880000000000001
2011-12-26,0.1085
2011-12-27,0.10859999999999999
2011-12-28,0.1085
2011-12-29,0.10869999999999999
2011-12-30,0.10869999999999999
